"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"453450","그리드위즈","KOSDAQ","그외 기타 전문, 과학 및 기술 서비스업",24/06/14,"ACTIVE"
"204020","그리티","KOSDAQ","봉제의복 제조업",18/07/23,"ACTIVE"
"402490","그린리소스","KOSDAQ","반도체 제조업",23/11/24,"ACTIVE"
"114450","그린생명과학","KOSDAQ","기초 의약물질 제조업",09/12/22,"ACTIVE"
"186230","그린플러스","KOSDAQ","1차 비철금속 제조업",19/08/07,"ACTIVE"
"014530","극동유화보통주","KOSPI","석유 정제품 제조업",91/01/31,"ACTIVE"
"204620","글로벌텍스프리","KOSDAQ","금융 지원 서비스업",14/11/19,"ACTIVE"
"019660","글로본","KOSDAQ","상품 종합 도매업",92/06/04,"ACTIVE"
"014285","금강공업1우선주","KOSPI","금속",89/07/31,"ACTIVE"
"014280","금강공업보통주","KOSPI","1차 철강 제조업",88/09/10,"ACTIVE"
"053260","금강철강","KOSDAQ","1차 철강 제조업",02/01/04,"ACTIVE"
"008870","금비보통주","KOSPI","유리 및 유리제품 제조업",90/06/08,"ACTIVE"
"001570","금양보통주","KOSPI","기초 화학물질 제조업",76/12/17,"ACTIVE"
"002995","금호건설1우선주","KOSPI","건설",88/10/06,"ACTIVE"
"002990","금호건설보통주","KOSPI","건물 건설업",76/06/26,"ACTIVE"
"011785","금호석유화학1우선주","KOSPI","화학",88/10/20,"ACTIVE"
"214330","금호에이치티보통주","KOSPI","자동차 신품 부품 제조업",15/11/11,"ACTIVE"
"001210","금호전기보통주","KOSPI","전구 및 조명장치 제조업",73/11/15,"ACTIVE"
"073240","금호타이어보통주","KOSPI","고무제품 제조업",05/02/17,"ACTIVE"
"036190","금화피에스시","KOSDAQ","전기 및 통신 공사업",00/12/26,"ACTIVE"
"420770","기가비스","KOSDAQ","특수 목적용 기계 제조업",23/05/24,"ACTIVE"
"092440","기신정기 보통주","KOSPI","특수 목적용 기계 제조업",07/10/30,"ACTIVE"
"013700","까뮤이앤씨보통주","KOSPI","건물 건설업",89/11/30,"ACTIVE"
"004545","깨끗한나라1우선주","KOSPI","종이·목재",88/11/21,"ACTIVE"
"004540","깨끗한나라보통주","KOSPI","펄프, 종이 및 판지 제조업",75/06/25,"ACTIVE"
